X1_raw_rmhost	X4_raw_rmhost	X8_raw_rmhost	X10_raw_rmhost	X11_raw_rmhost	X12_raw_rmhost	X14_raw_rmhost	X17_raw_rmhost	X21_raw_rmhost	X23_raw_rmhost	X24_raw_rmhost	X25_raw_rmhost	ko
K00041	0	1.78206068872417	11.1552507571662	1.53868704433528	1.05716392372491	0.593594733309223	0.0934130564157878	0.751601019687137	3.63179408227259	0.648782205688234	1.21617524393354	1.18500492015811	K00041
K00045	3.784155958376	22.6576287566358	22.0169422838807	34.5217260788657	13.3942669135946	15.2219949422984	20.8320457112848	53.1416084601519	11.1223693769598	38.2976136017764	67.8467683333206	141.69630499184	K00045
K00046	5.676233937564	2.2912208855025	7.35072313051162	8.82180572085563	12.4594319581864	29.676026698378	2.80239169247363	10.3345140206981	3.98475906964346	12.0608612037443	37.4046858024201	140.351982743527	K00046
K00049	0	6.11501396330778	0.880677691355226	3.71849369047694	4.54731510619387	1.70658485826402	0.0934130564157878	4.64626084897503	0.226987130142037	4.35610909533528	9.97263700025506	11.981716414932	K00049
K00052	753.211015808353	647.40991920857	672.767301980085	776.904886751346	238.894127897913	421.234114585057	361.662659872185	683.41099226554	200.541994544839	794.952836629793	434.770487953803	393.998335886971	K00052
K00053	2511.32356714324	2223.58913656443	1123.15761570837	5048.14240640405	846.875141368817	889.902384308854	815.173707465193	2062.19436538811	839.430185463473	3184.78565237335	1327.57324775212	982.927347795684	K00053
K00054	182.673821964004	194.527198980146	159.029841912622	132.024477360782	256.295801199514	160.786263418052	263.809680884955	151.721598202317	257.361412961994	218.016772399474	215.529360554659	156.81038441239	K00054
K00055	0	0	0	1.02579136289019	1.66125759442486	0	0	0	2.61035199663343	1.01951489465294	13.0130751100889	0	K00055
K00057	1073.40106529974	872.621657447563	1052.2190276697	784.089273009188	889.811099013816	684.724138760271	1182.35240831873	1227.22371077632	3284.96909677207	1082.51906147905	702.785107335657	994.852447308875	K00057
K00058	592.352852944387	563.390849337194	553.444281578365	1696.5614640409	566.379347721063	315.817625896672	702.901489089622	512.065774712847	357.911036936663	939.438487500007	636.700576930796	1100.00846725157	K00058
K00059	587.723568821973	1102.04415051391	591.063896960756	1108.19061859275	1045.62799996581	848.292877490711	705.318084859098	1035.22244738166	588.945347609132	845.073115682654	1807.76788106684	1173.56830600645	K00059
K00060	4.41484861810533	41.2445217400289	25.0787650574923	23.441897120448	11.1364668193536	13.7765917666904	42.5188208887741	50.6756738419238	14.9039749651262	18.1316089855413	15.2021905491693	98.6253261604928	K00060
K00065	0	0	0	0	0.598807851081324	0	0	0	1.2484292157812	0.185366344482352	0.121617524393354	0	K00065
K00066	147.575775450067	55.9312476160999	67.735856834435	1.28608592122357	0.604093670699949	5.6510218611038	147.010665795474	58.3789010200627	24.7438670567835	1.22712520047317	1.09455771954019	6.05669181414147	K00066
K00067	119.175684982455	219.10690747962	328.067117991344	132.351448357703	171.092164532728	151.847468727832	91.4541846227487	225.505587031349	181.151618952456	162.937016799988	224.091234271951	188.575099633295	K00067
K00069	0	0	0	0	0	2.15178090824593	0	0	0	0	0	0.526668853403606	K00069
K00074	202.212680562419	922.376791876742	1147.45844880516	329.004628298178	2069.60452765664	244.667135181979	179.828540775469	660.572570371865	735.295299768211	149.984543479283	3010.40344600968	942.512096657625	K00074
K00075	623.546911894599	497.558981694739	467.454911794441	675.599013991515	498.849226507692	346.149574775357	413.194906574518	631.9229060487	642.52565967916	607.62253572765	631.520886566884	530.466135836646	K00075
K00077	39.1218656830105	166.70159422621	173.995491481052	174.711502688253	153.185317899005	65.0557567904409	29.2438914415265	156.574890968533	172.108451687597	137.958901880991	82.9796368935857	65.6729726751627	K00077
K00078	5.04554127783466	44.296937119715	38.0570186357638	17.5666770894945	48.8032174216721	28.271433160685	37.4595697532951	37.6504281707457	20.6036218029927	89.0777968409945	57.1079409293874	40.1400666621559	K00078
K00079	0	0	0	0	0	1.63238551660036	0	0	0	0	0	0.131667213350902	K00079
K00084	0	0	0	0	0	1.18718946661845	0	0	0	0	0	0	K00084
K00087	9.46038989593999	77.4712697408073	112.386215786145	26.3282175677803	70.6396933832985	24.684636984664	3.73652225663151	71.3378691467775	62.9968731639703	10.009782602047	83.4831334445742	45.7714733771739	K00087
K00088	689.529977955482	817.968401925376	1023.14492148576	916.265054595997	725.712828953616	653.705845971198	724.199665952421	676.311095724114	888.441246603742	741.588646548491	719.60845948499	892.911740716207	K00088
K00090	0	1.56566760509338	0	1.50919554265219	0.603338553611574	1.70658485826402	0.280239169247363	1.981493597357	0.567467825355093	1.02600271670982	4.86470097573418	2.50167705366713	K00090
K00091	125.709660937251	26.7334561318464	17.3082522274347	46.5324606991062	16.1489340519864	19.0388090774767	90.3677907766331	32.4288509048829	13.7633646361624	60.5323066224346	13.1286117582626	15.9277827990586	K00091
K00093	120.462298008303	387.31307008731	20.9190307619911	12.7493044015214	121.832101272589	24.2876705067635	329.336137568937	479.009678593352	101.305491118042	117.530603887313	61.4813071065724	107.023061028013	K00093
K00096	0.630692659729333	4.83702186939417	6.95441816940177	1.79513488505783	0.642604642207071	0.644050285640507	9.81490983760682	9.77081325593278	3.43772008600115	4.81952495654116	0	29.2327547081672	K00096
K00097	0.630692659729333	1.78206068872417	3.3876735194131	1.21556276502487	0.604093670699949	0.593594733309223	0.280239169247363	3.41636827130517	1.68878424825676	0.185366344482352	1.09455771954019	1.18500492015811	K00097
K00099	594.926078996082	537.47714112216	301.802373642827	404.206675350861	538.208949622147	502.469037825257	464.136782760304	484.271569004816	307.725317397909	491.18095911417	1153.27830884303	740.79265911551	K00099
K00100	9.46038989593999	49.1899666107548	133.675131178505	72.7478412169686	78.8115705136921	29.5075941928015	13.8251323495366	45.1862533035907	86.2392203548641	31.1841801322662	83.0039603984644	38.187441888162	K00100
K00101	1160.3988107828	908.041386536448	1087.1819320165	905.00827662748	360.911232857154	444.263364257205	1672.47670337391	1055.49722652455	301.269803416669	580.159584960867	393.177294611275	890.993349417684	K00101
K00102	14.5059311737747	10.6949099333289	11.7423692180697	17.4794848236488	7.83962561150859	4.89715654980109	14.5630954952213	12.8851745720546	18.0432069749905	6.62591998352169	6.31559804174689	17.0969876536146	K00102
K00104	12.6138531945867	87.6824774871968	797.973249360057	83.9969257502632	78.2029461404619	22.1062098618521	26.8104813218952	73.0228219781852	434.897126931287	34.3391153153558	65.3402311555736	72.3366503428518	K00104
K00105	450.762350835151	305.814343189986	98.4773794473414	2.43881896527142	75.6083638248056	132.971156208599	164.61435627703	539.416535819261	60.3797115534326	35.9453146902954	57.3402304009787	375.38322526342	K00105
K00106	0	2.81565588818418	0	0	0	11.4266986162025	0.186826112831576	1.02491048139155	0	0	0	1.06387108387528	K00106
